Clasificacion,Equipo,Partidos,Victorias,Empates,Derrotas,GF,GC,DG,PTS
1,THW Kiel,34,29,1,4,1098,917,181,59
2,SC Magdeburg,34,27,3,4,1124,982,142,57
3,Füchse Berlin,34,25,1,8,1103,990,113,51
4,SG Flensburg-Handewitt,34,23,3,8,1062,929,133,49
5,Rhein-Neckar Löwen,34,22,1,11,1133,1025,108,45
6,TSV Hannover-Burgdorf,34,18,2,14,994,978,16,38
7,Handball Sportverein Hamburg,34,17,2,15,1028,1010,18,36
8,TBV Lemgo Lippe,34,16,3,15,1013,1010,3,35
9,MT Melsungen,34,14,6,14,910,923,-13,34
10,VfL Gummersbach,34,15,3,16,1036,1038,-2,33
11,SC DHfK Leipzig,34,14,3,17,999,1013,-14,31
12,HC Erlangen,34,14,2,18,1009,1061,-52,30
13,Bergischer HC,34,14,2,18,955,997,-42,30
14,FRISCH AUF! Göppingen,34,9,5,20,955,989,-34,22
15,TVB 1898 Stuttgart,34,10,3,21,912,1003,-91,23
16,HSG Wetzlar,34,8,1,25,886,991,-105,17 
17,GWD Minden,34,5,3,26,932,1093,-161,13
18,ASV Hamm-Westfalen,34,3,2,29,891,1091,-200,8
